"name","word","count"
"#elections","#elections",3
"politics","politics",3
"excited","excited",3
"peace","peace",5
"polls","polls",7
"voting","voting",12
"Nobel","Nobel",17
"election","election",27
"vote","vote",28
"#Liberia","#Liberia",29
"Liberia","Liberia",85
